Id,SalePrice
1461,102216.286464
1462,146250.878676
1463,181775.802276
1464,187255.626641
1465,187771.998229
1466,174414.156458
1467,161304.784564
1468,167142.27513
1469,177932.933727
1470,122972.245586
1471,200062.560123
1472,100631.929516
1473,106744.124581
1474,164396.175018
1475,103340.262847
1476,381528.773241
1477,248497.131506
1478,339451.639132
1479,349363.095825
1480,423596.267153
1481,281663.345861
1482,209323.300053
1483,203513.598154
1484,189522.552844
1485,180355.144718
1486,213512.515302
1487,334561.14819
1488,245247.851428
1489,206915.262574
1490,260492.804157
1491,207002.315066
1492,101339.513345
1493,172058.90297
1494,265078.265523
1495,263959.348595
1496,261122.073379
1497,216031.854452
1498,178500.539347
1499,178945.501548
1500,182313.119378
1501,195391.327367
1502,167808.163792
1503,290985.143406
1504,218936.960663
1505,213995.617056
1506,199048.984563
1507,244710.940537
1508,192651.006112
1509,162581.526963
1510,149475.315012
1511,147451.23863
1512,181905.314965
1513,163112.402284
1514,156730.697449
1515,240509.223417
1516,153955.541771
1517,140056.45454
1518,176627.905742
1519,216072.369137
1520,122219.114887
1521,127763.324106
1522,170423.52878
1523,126931.781122
1524,119856.31616
1525,107618.960952
1526,109807.498032
1527,117918.164948
1528,125533.802011
1529,142697.576583
1530,163655.748857
1531,143263.937046
1532,81720.5627945
1533,164958.153553
1534,130995.081215
1535,164268.207226
1536,119711.674115
1537,105772.498904
1538,161373.756693
1539,208256.790828
1540,158231.360027
1541,148605.175624
1542,149315.224336
1543,186009.141559
1544,94077.5614835
1545,105225.071621
1546,125167.405837
1547,136791.821989
1548,127194.250244
1549,117140.045134
1550,151497.808259
1551,112346.5396
1552,172454.332482
1553,144538.623555
1554,119336.053031
1555,160004.231389
1556,116823.003722
1557,128394.961701
1558,91927.6587582
1559,131047.590894
1560,156540.5533
1561,177793.118597
1562,119742.49016
1563,103335.442631
1564,166456.690532
1565,148292.163401
1566,194694.342521
1567,100801.632111
1568,204074.454577
1569,151747.000312
1570,116111.261174
1571,134401.544805
1572,130550.345196
1573,231220.269411
1574,154797.395047
1575,199954.430158
1576,242598.287068
1577,206665.435721
1578,142736.473407
